POT_MW,ALT_TOTAL,ALT_TORRE,DIAM_ROTOR,DATA_ATUALIZACAO,EOL_VERSAO_ID,NOME_EOL,DEN_AEG,X,Y,VERSAO,DATUM_EMP,OPERACAO,FUSO_AG,PROPRIETARIO,OBJECTID,UF,CEG,LONG,LAT,SETOR
4.2,200.0,125.0,150.0,1689010846000,37294,Jerusalém I,JER-I-01,820728.0,9379055.0,Versão Válida,SIRGAS2000,Sim,UTM 24 S (MER -39),Central Eólica Jerusalém I S.A.,376,RN,EOLCVRN037294-3-01,-36.10513381199996,-5.610533140999962,Nordeste
1.65,111.0,70.0,82.0,1689006401000,29019,Santa Maria,STM-01,214119.0,9082650.0,Versão Válida,SIRGAS2000,Sim,UTM 25 S (MER -33),Eólica Gravatá - Geradora de Energia S.A.,389,PE,EOLCVPE029019-0-01,-35.595234964999975,-8.290523836999967,Nordeste
1.68,130.0,80.0,100.0,1673367898000,30768,Maron,AEG-06,758846.0,8435790.0,Versão Válida,SIRGAS2000,Sim,UTM 23 S (MER -45),Centrais Eólicas Maron S.A.,640,BA,EOLCVBA030768-8-01,-42.60226540299993,-14.13707840099994,Nordeste
2.3,149.0,108.0,82.0,1673367898000,30286,Osório 2,OS2-03,572445.861,6686491.184,Versão Válida,WGS84,Sim,UTM 22 S (MER -51),Ventos do Litoral Energia  S.A.,323,RS,EOLCVRS030286-4-01,-50.249243587999956,-29.950242568999954,Sul
2.7,150.0,89.0,122.0,1673359590000,32106,Juazeiro,JUA - 07,749597.0,8469123.0,Versão Válida,SIRGAS2000,Sim,UTM 23 S (MER -45),Centrais Eólicas Juazeiro S.A.,49,BA,EOLCVBA032106-0-01,-42.69089774799994,-13.836767025999961,Nordeste
2.7,151.0,90.0,122.0,1673349921000,32090,Amescla,2,748199.0,8469513.0,Versão Válida,SIRGAS2000,Sim,UTM 23 S (MER -45),Centrais Eólicas Amescla S.A.,814,BA,EOLCVBA032090-0-01,-42.70385828899998,-13.833364912999969,Nordeste
2.0,145.0,95.0,100.0,1666625847000,30527,Renascença III,UG9,177982.038,9413603.17,Versão Válida,SIRGAS2000,Sim,UTM 25 S (MER -33),Energisa Geração - Central Eólica Renascença III S.A.,998,RN,EOLCVRN030527-8-01,-35.90496968499997,-5.2983508359999405,Nordeste
3.0,162.5,100.0,125.0,1666625847000,31482,Itarema V,5,402097.0,9671304.0,Versão Válida,SIRGAS2000,Sim,UTM 24 S (MER -39),Eólica Itarema V S.A.,62,CE,EOLCVCE031482-0-01,-39.880972966999934,-2.973435773999938,Nordeste
1.5,141.45,100.0,82.9,1666625847000,30296,Barra dos Coqueiros,WT 20,727119.0,8805669.0,Versão Válida,SIRGAS2000,Sim,UTM 24 S (MER -39),Energen Energias Renováveis S.A.,40,SE,EOLCVSE030296-1-01,-36.922823456999936,-10.797232702999963,Nordeste
1.5,138.5,100.0,77.0,1666625847000,29051,Púlpito,AEG 3,634703.775499,6849627.8697535,Versão Válida,SIRGAS2000,Sim,UTM 22 S (MER -51),Púlpito Energia Eólica S.A.,975,SC,EOLCVSC029051-3-01,-49.62399768399996,-28.47300075199996,Sul
2.1,124.0,80.0,88.0,1666625847000,28699,Icaraizinho,AEG 21,424086.0,9666575.0,Versão Válida,SIRGAS2000,Sim,UTM 24 S (MER -39),CPFL Energias Renováveis S.A.,950,CE,EOLCVCE028699-0-01,-39.68314143599997,-3.0163467529999366,Nordeste
1.6,121.25,80.0,82.5,1666625847000,30498,Asa Branca IV,AB-IV05,168001.0,9409690.0,Versão Válida,SIRGAS2000,Sim,UTM 25 S (MER -33),Asa Branca IV Energias Renováveis Ltda.,16,RN,EOLCVRN030498-0-01,-35.99512647199998,-5.3332630009999775,Nordeste
2.35,130.0,80.0,100.0,1666625847000,30801,Joana,AEG4,757836.0,8460335.0,Versão Válida,SIRGAS2000,Sim,UTM 23 S (MER -45),Enel Green Power Joana Eólica S.A.,1000,BA,EOLCVBA030801-3-01,-42.61391024499994,-13.915429958999937,Nordeste
1.85,121.25,80.0,82.5,1666625847000,30739,Caititu,CAI-083,754125.0,8398879.0,Versão Válida,WGS84,Sim,UTM 23 S (MER -45),Central Eólica Caititu S.A.,1,BA,EOLCVBA030739-4-01,-42.642494529999965,-14.470967592999955,Nordeste
2.0,145.0,95.0,100.0,1666625847000,30512,Dreen Boa Vista,BV07,175728.0,9433802.0,Versão Válida,SIRGAS2000,Sim,UTM 25 S (MER -33),GE Boa Vista S.A.,2,RN,EOLCVRN030512-0-01,-35.924468564999984,-5.1157539649999535,Nordeste
2.0,145.0,95.0,100.0,1666625847000,30497,Renascença V,15,184692.0,9417056.0,Versão Válida,SIRGAS2000,Sim,UTM 25 S (MER -33),Renascença V Energias Renováveis S.A.,3,RN,EOLCVRN030497-2-01,-35.84437289899995,-5.267423835999978,Nordeste
2.7,150.0,89.0,122.0,1666625847000,30864,SM,1,176028.0,9397684.0,Versão Válida,SIRGAS2000,Sim,UTM 25 S (MER -33),Santa Maria Energias Renováveis S.A.,4,RN,EOLCVRN030864-1-01,-35.92329442299996,-5.442081616999928,Nordeste
2.0,147.2,97.2,100.0,1666625847000,30756,Cerro Chato VI,8,627337.46,6591690.658,Versão Válida,SIRGAS2000,Sim,UTM 21 S (MER -57),Eólica Cerro Chato VI S.A.,9,RS,EOLCVRS030756-4-01,-55.66896247999995,-30.801034310999967,Sul
1.6,121.0,80.0,82.0,1666625847000,30301,Morro dos Ventos I,AG_09_MV1,186686.02,9405777.69,Versão Válida,SIRGAS2000,Sim,UTM 25 S (MER -33),Desa Morro dos Ventos I S.A,10,RN,EOLCVRN030301-1-01,-35.82686507699998,-5.369410412999969,Nordeste
2.1,137.5,90.0,95.0,1666625847000,30332,Faísa III,4,471034.0,9630338.0,Versão Válida,SIRGAS2000,Sim,UTM 24 S (MER -39),Eólica Faísa III Geração e Comercialização de Energia Ltda.,12,CE,EOLCVCE030332-1-01,-39.26075033999996,-3.3443751729999462,Nordeste
2.3,130.5,80.0,101.0,1666625847000,30672,Costa Branca,CBR-09,184316.0,9403331.0,Versão Válida,SIRGAS2000,Sim,UTM 25 S (MER -33),SPE Costa Branca Energia S.A.,13,RN,EOLCVRN030672-0-01,-35.848333631999935,-5.391417572999956,Nordeste
0.6,86.6,64.6,44.0,1666625847000,28793,Água Doce,AEG 2,431694.58,7058321.0,Versão Válida,SAD69,Sim,UTM 22 S (MER -51),CENAEEL - Central Nacional de Energia Eólica S.A.,14,SC,EOLCVSC028793-8-01,-51.68682705499998,-26.594797522999954,Sul
2.1,121.5,77.5,88.0,1666625847000,28887,Bons Ventos,NBV-21,638374.997,9508461.737,Versão Válida,SIRGAS2000,Sim,UTM 24 S (MER -39),BVP Geradora de Energia S.A.,15,CE,EOLCVCE028887-0-01,-37.75282865899993,-4.445955001999948,Nordeste
2.3,149.0,108.0,82.0,1666625847000,30381,Sangradouro 2,SG2-07,569997.366,6688815.152,Versão Válida,SIRGAS2000,Sim,UTM 22 S (MER -51),Ventos da Lagoa Energia S.A.,962,RS,EOLCVRS030381-0-01,-50.274767752999935,-29.929413262999958,Sul
2.3,154.0,108.0,92.0,1666625847000,30894,Índios 3,DI3-03,565542.515701,6684093.777042,Versão Válida,SIRGAS2000,Sim,UTM 22 S (MER -51),Ventos dos índios Energia S.A.,17,RS,EOLCVRS030894-3-01,-50.32058845599994,-29.97226911499996,Sul
1.5,138.5,100.0,77.0,1666625847000,29052,Aquibatã,AEG 2,425432.5479,7059692.0153,Versão Válida,SIRGAS2000,Sim,UTM 22 S (MER -51),Aquibatã Energia Eólica S.A.,18,SC,EOLCVSC029052-1-01,-51.748808372999974,-26.581554611999934,Sul
1.7,131.5,80.0,103.0,1666625847000,31344,Caetité A,11,771428.0,8433625.0,Versão Válida,SIRGAS2000,Sim,UTM 23 S (MER -45),Eólica Caetité A S.A.,19,BA,EOLCVBA031344-0-01,-42.485578990999954,-14.155444484999975,Nordeste
1.6,121.25,80.0,82.5,1666625847000,30328,Guanambi,GUA_2,757419.0,8428667.0,Versão Válida,SAD69,Sim,UTM 23 S (MER -45),Centrais Eólicas Guanambi Ltda.,20,BA,EOLCVBA030328-3-01,-42.61520855899994,-14.20195820899994,Nordeste
1.79,130.0,80.0,100.0,1666625847000,31559,Verace 26,AGV26-02,287104.0,6273196.0,Versão Válida,SIRGAS2000,Sim,UTM 22 S (MER -51),Eólica Hermenegildo I S.A.,22,RS,EOLCVRS031559-1-01,-53.29601915999996,-33.65982351699995,Sul
2.0,135.0,80.0,110.0,1666625847000,32523,Delfina VI,3,286379.0,8891034.0,Versão Válida,SIRGAS2000,Sim,UTM 24 S (MER -39),Enel Green Power Delfina D Eólica S.A.,23,BA,EOLCVBA032523-6-01,-40.948978703999956,-10.026417056999946,Nordeste
